no,Age,Job,Creditamount,Duration,Sex_male,Housing_own,Housing_rent,Savingaccounts_moderate,Savingaccounts_quite rich,Savingaccounts_rich,Checkingaccount_moderate,Checkingaccount_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Age_Income_Ratio,Credit_Duration_Ratio,Saving_Checking_Account_little_moderate,Saving_Checking_Account_little_rich,Saving_Checking_Account_moderate_little,Saving_Checking_Account_moderate_moderate,Saving_Checking_Account_moderate_rich,Saving_Checking_Account_quite rich_little,Saving_Checking_Account_quite rich_moderate,Saving_Checking_Account_quite rich_rich,Saving_Checking_Account_rich_little,Saving_Checking_Account_rich_moderate,Saving_Checking_Account_rich_rich
1,22,2,5951,48,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.003696236559139785,121.44897959183673,True,False,False,False,False,False,False,False,False,False,False
3,45,2,7882,42,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0057084866167702655,183.30232558139534,False,False,False,False,False,False,False,False,False,False,False
4,53,2,4870,24,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0108807226442209,194.8,False,False,False,False,False,False,False,False,False,False,False
7,35,3,6948,36,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.005036695927471579,187.78378378378378,True,False,False,False,False,False,False,False,False,False,False
9,28,3,5234,30,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.005348615090735435,168.83870967741936,True,False,False,False,False,False,False,False,False,False,False
10,25,2,1295,12,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.019290123456790122,99.61538461538461,True,False,False,False,False,False,False,False,False,False,False
11,24,2,4308,48,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.005569737758180552,87.91836734693878,False,False,False,False,False,False,False,False,False,False,False
12,22,2,1567,12,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.01403061224489796,120.53846153846153,True,False,False,False,False,False,False,False,False,False,False
13,60,1,1199,24,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.05,47.96,False,False,False,False,False,False,False,False,False,False,False
14,28,2,1403,15,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.019943019943019943,87.6875,False,False,False,False,False,False,False,False,False,False,False
15,32,1,1282,24,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0.02494154325798909,51.28,False,False,True,False,False,False,False,False,False,False,False
18,44,3,12579,24,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0034976152623211448,503.16,True,False,False,False,False,False,False,False,False,False,False
21,44,2,2647,6,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.01661631419939577,378.14285714285717,False,False,False,False,False,True,False,False,False,False,False
22,48,1,2241,10,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.021409455842997322,203.72727272727272,False,False,False,False,False,False,False,False,False,False,False
23,44,2,1804,12,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.02437673130193906,138.76923076923077,False,False,False,True,False,False,False,False,False,False,False
25,36,1,1374,6,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.02618181818181818,196.28571428571428,False,False,False,False,False,False,False,False,False,False,False
27,42,2,409,12,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,0.1024390243902439,31.46153846153846,False,False,False,False,False,False,False,False,False,False,True
28,34,2,2415,7,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.014072847682119206,301.875,True,False,False,False,False,False,False,False,False,False,False
29,63,2,6836,60,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.009214567792891619,112.06557377049181,False,False,False,False,False,False,False,False,False,False,False
30,36,2,1913,18,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,0.018808777429467086,100.6842105263158,False,False,False,False,False,False,False,False,False,True,False
31,27,2,4020,24,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0067147475752300425,160.8,False,False,False,False,False,False,False,False,False,False,False
32,30,2,5866,18,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.005113345832623147,308.7368421052632,False,False,False,True,False,False,False,False,False,False,False
34,33,3,1474,12,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.022372881355932205,113.38461538461539,False,True,False,False,False,False,False,False,False,False,False
35,25,1,4746,45,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.005266484095218032,103.17391304347827,True,False,False,False,False,False,False,False,False,False,False
37,37,2,2100,18,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.017610661589719183,110.52631578947368,False,True,False,False,False,False,False,False,False,False,False
38,37,2,1225,10,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0.030179445350734094,111.36363636363636,False,True,False,False,False,False,False,False,False,False,False
39,24,2,458,9,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.05228758169934641,45.8,True,False,False,False,False,False,False,False,False,False,False
41,26,2,1158,12,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,0.022433132010353754,89.07692307692308,False,False,False,False,False,False,True,False,False,False,False
42,44,1,6204,18,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.007091055600322321,326.5263157894737,True,False,False,False,False,False,False,False,False,False,False
43,24,2,6187,30,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,0.003878474466709761,199.58064516129033,False,False,True,False,False,False,False,False,False,False,False
44,58,1,6143,48,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.009440104166666666,125.36734693877551,False,False,False,False,False,False,False,False,False,False,False
47,23,0,1352,6,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.016999260901699925,193.14285714285714,False,False,False,False,False,True,False,False,False,False,False
51,30,3,5965,27,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.005028494803888703,213.03571428571428,True,False,False,False,False,False,False,False,False,False,False
54,57,2,2225,36,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.025606469002695417,60.13513513513514,True,False,False,False,False,False,False,False,False,False,False
58,23,3,1961,18,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.011722731906218144,103.21052631578948,False,True,False,False,False,False,False,False,False,False,False
59,23,1,6229,36,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.0036918138041733546,168.35135135135135,False,False,False,False,False,False,False,False,False,False,False
60,27,2,1391,9,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.01939655172413793,139.1,True,False,False,False,False,False,False,False,False,False,False
62,61,3,1953,36,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.031218014329580348,52.78378378378378,True,False,False,False,False,False,False,False,False,False,False
63,25,2,14421,48,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0017334627652198032,294.3061224489796,True,False,False,False,False,False,False,False,False,False,False
67,22,2,1007,12,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,0.021825396825396824,77.46153846153847,False,False,False,False,False,False,False,False,False,True,False
